planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.3244383948613973,0.6488767897227945,0.1784574149083239,0.34231878431916546,0.6072144288577155,0.17865892774186276,0.34284563430684667,0.6112224448897795,0.6035378333523814,0.68425960996308,0.3689047889824164,0.27022042367856225,0.49892745443280817,0.6999881502612892,0.48883102029588404,0.023377839738686637
venus,499,0.5702917473618017,1.1405834947236033,0.15078145511140453,0.3093591481178246,0.6052104208416834,0.1508356040922921,0.3149543468934152,0.6072144288577155,0.615591637922212,0.7006080798567608,0.3872299022889316,0.38345110313558967,0.6098875019112268,0.9900432391399028,0.3954672605420963,0.011332704818613985
earth,499,0.5779119741183362,1.1558239482366723,0.16603907201187942,0.255814546902939,0.5951903807615231,0.16636182771771818,0.25450852648884387,0.5951903807615231,0.6310196479549883,0.7170406862145946,0.3591310056427541,0.3502026393913217,0.6300913361594612,0.9757332591290605,0.3939929112775027,0.00840050772075459
mars,499,0.5059726230458822,1.0119452460917642,0.1163335388252909,0.27828919413638614,0.5711422845691383,0.116445938181179,0.28307803398732134,0.5711422845691383,0.5944378212858179,0.6537077173336974,0.34530850250275447,0.30280874812507214,0.5812209658392155,0.8636748332457291,0.3774197437978426,0.007969187815996339
jupiter,499,0.5639845938206394,1.1279691876412787,0.05439385640817871,0.050340332550597125,0.5270541082164328,0.054323146770714245,0.0512771505240473,0.5270541082164328,0.6292916474944995,0.7226453687618845,0.42074243569420583,0.39323112705696167,0.5426543394212766,0.9312446944277356,0.3983282298160035,0.0035972369447128507
saturn,499,0.5786019232134829,1.1572038464269658,0.021715440845522387,0.038966197739245506,0.5150300601202404,0.021784795536817298,0.03440265509311382,0.5110220440881763,0.6443588723245866,0.7245267114514087,0.43013572544764916,0.39992864628233327,0.5274696521351089,0.921467984397926,0.41910398833744594,0.003758734115260001
uranus,499,0.6402081793102967,1.2804163586205934,0.019539610336013216,0.05309120829796947,0.5110220440881763,0.019414146199183177,0.05207512734505771,0.5110220440881763,0.6118729388804208,0.67329217016108,0.34838187823977446,0.32680038580505405,0.6300375792431508,0.9350751148036575,0.41991077587443065,0.003209958687050328
neptune,499,0.6008095057981013,1.2016190115962024,0.19901709259766875,0.3486416355166579,0.6072144288577155,0.1989065875301019,0.34900117786912066,0.6072144288577155,0.6137562152532136,0.6819845269513004,0.28764521634463724,0.2844653215995032,0.7116531799068516,0.9898922043072294,0.36129661710139027,0.0007008416030509362
