planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.332116791293945,0.6642335825878901,0.2589905771162472,0.5482996666686782,0.6412825651302605,0.25865393625912986,0.5432569329881609,0.6412825651302605,0.562597631970756,0.5620072337258751,0.33453276472667365,0.23113791134861605,0.6203765640256756,0.6999881502612892,0.4454279914269943,0.023377839738686637
venus,499,0.6294738127386547,1.2589476254773093,0.24373209587254596,0.48582362188068895,0.6232464929859719,0.24363269474384838,0.48354181382138406,0.6232464929859719,0.5839283996056743,0.6424527143749149,0.24976339162131558,0.2472732077023909,0.8126082094707527,0.9900432391399028,0.32910612267865025,0.011332704818613985
earth,499,0.6143241849468508,1.2286483698937016,0.24876371539724396,0.4607078270787228,0.657314629258517,0.24878118432470153,0.4575975073149415,0.657314629258517,0.593482741878106,0.6544171377072614,0.23295834176364172,0.22738292747953806,0.8140149040164876,0.9757332591290605,0.3174780521593411,0.00840050772075459
mars,499,0.5290442577505532,1.0580885155011062,0.21381088180857954,0.43930094192716823,0.6132264529058116,0.21358424740914564,0.4325856234997408,0.6152304609218436,0.5561544032405633,0.578973385637325,0.28408262848532073,0.24706974118599795,0.7350305316887068,0.8636748332457291,0.3924693371814968,0.007969187815996339
jupiter,499,0.4983388929618327,0.9966777859236654,0.30351687263422933,0.5106360432284335,0.6753507014028056,0.30366050267743666,0.5130107035616175,0.6753507014028056,0.6210740561360141,0.6875350723021847,0.26907120138223073,0.25267410418894,0.7143088731286495,0.9312446944277356,0.34027994719336974,0.0035972369447128507
saturn,499,0.5327525053774207,1.0655050107548412,0.30038649852395555,0.5331546328915441,0.6753507014028056,0.300883880382148,0.5341108211845255,0.6773547094188377,0.5944407987675803,0.6329611461295993,0.19876937203453285,0.18525175101275415,0.7733883889635145,0.921467984397926,0.24806560694325153,0.003758734115260001
uranus,499,0.3474489760835951,0.6948979521671901,0.5130926699744304,0.8241869630302936,0.7935871743486974,0.5133358777068407,0.822622060993431,0.7955911823647295,0.5135006767440194,0.4927737781122992,0.1978764161635517,0.1876180241796962,0.7700185859262058,0.9350751148036575,0.2500364576984989,0.003209958687050328
neptune,499,0.21011077299184427,0.42022154598368855,0.7304637112409595,0.9482483691697664,0.8977955911823647,0.7304084951392175,0.948115027879595,0.8977955911823647,0.3834036871723313,0.3073151066607907,0.1869679520255781,0.18539383588528738,0.8410545200965789,0.9898922043072294,0.248374453699073,0.0007008416030509362
