planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.2546955929737262,0.5093911859474523,0.41387845430394704,0.721250716589213,0.7535070140280561,0.41399910565990305,0.7209742359247161,0.7535070140280561,0.5350679153898046,0.5376766995137854,0.3131885726988126,0.23131812208866465,0.5269506100466641,0.6999881502612892,0.40688948127454116,0.023377839738686637
venus,499,0.4978193822731983,0.9956387645463965,0.31500846071372923,0.5583803270663888,0.6793587174348698,0.3148065494991567,0.5539059104434615,0.6793587174348698,0.5848652832266032,0.6420219400295543,0.33510211257007017,0.3317675728594265,0.6711016913822699,0.9900432391399028,0.3357002296498227,0.011332704818613985
earth,499,0.4572349161121957,0.9144698322243914,0.34379892911301063,0.5345168995793969,0.7194388777555111,0.34382627931075194,0.5392468465139609,0.7214428857715431,0.5942916571358028,0.6205598390861521,0.33095477360060344,0.3229195283841827,0.6626209907932088,0.9757332591290605,0.3434024662503036,0.00840050772075459
mars,499,0.35817382660630737,0.7163476532126147,0.38871448388616664,0.6244009374657628,0.7434869739478958,0.3883656141358468,0.6241942510099487,0.7474949899799599,0.5897322458468852,0.6399843541526754,0.32099785745017734,0.2810706515016898,0.617694853632267,0.8636748332457291,0.38423943265412985,0.007969187815996339
jupiter,499,0.21716164562398121,0.43432329124796243,0.7079037194708471,0.8641601192007957,0.9138276553106213,0.7074235311438382,0.862783459339625,0.9138276553106213,0.4852276167889532,0.495287392020115,0.2015113547138474,0.1871825018485714,0.7667259629877372,0.9312446944277356,0.26099188891705616,0.0035972369447128507
saturn,499,0.1594069396668997,0.3188138793337994,0.78860272629253,0.9181547187857051,0.9579158316633266,0.7884435640343678,0.9189817674164568,0.9579158316633266,0.4128599207031155,0.3920788599577526,0.15622489148039223,0.1444263841140573,0.8065897103745417,0.921467984397926,0.21049877393814354,0.003758734115260001
uranus,499,0.14424374214277177,0.2884874842855436,0.8126492633737378,0.9515892306880599,0.9559118236472945,0.812885656065186,0.950792343040082,0.9559118236472945,0.37770948193289317,0.3054038305504432,0.1499151213451281,0.13785874181505825,0.8620482678887501,0.9350751148036575,0.20765442343409757,0.003209958687050328
neptune,499,0.11852772236086392,0.23705544472172785,0.8684146648593483,0.9555770262672874,0.9779559118236473,0.8683865333435691,0.9553055102437226,0.9779559118236473,0.3453389285285331,0.2952717859004722,0.12433973277717233,0.1224556499301031,0.9195875561535392,0.9898922043072294,0.18452081486519142,0.0007008416030509362
