planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.0002664906118033828,0.0005329812236067656,0.999645961442694,0.9998910369312775,1.0,0.999479622619759,0.9997636367579572,1.0,0.025889383748635763,0.0217409891620145,0.023548450592355063,0.014788739750834641,0.6948428359833058,0.6999881502612892,0.03392685125452018,0.023377839738686637
venus,499,0.0004628852755383594,0.0009257705510767187,0.9998019463893696,0.999910687413309,1.0,0.9997924157243293,0.9999081058473723,1.0,0.016281338060250648,0.013556542997282775,0.019993636703785695,0.019829598647253494,0.9928693502426792,0.9900432391399028,0.026180965948623364,0.011332704818613985
earth,499,0.00033840734312780654,0.0006768146862556131,0.9998633431504682,0.9999336557726376,1.0,0.9998513925456782,0.9999289010691662,1.0,0.013694794175212204,0.011924462442658565,0.01765155955627707,0.017299314181342007,0.9801305272194348,0.9757332591290605,0.022063674682599253,0.00840050772075459
mars,499,0.00041954284912027796,0.0008390856982405559,0.9997063719895273,0.9998779892934613,1.0,0.9996816398886985,0.9998507133806127,1.0,0.020157571367968773,0.017278626989394565,0.021342695567491382,0.017784180295636595,0.8582582000837498,0.8636748332457291,0.02489765943988774,0.007969187815996339
jupiter,499,0.00040752111381554617,0.0008150422276310924,0.9997322173144084,0.9998882576149001,1.0,0.9997382436506599,0.9999011471185051,1.0,0.017987665556363962,0.01406044062869844,0.016975320504323058,0.015832182990968734,0.9326901014115767,0.9312446944277356,0.019973226834723374,0.0035972369447128507
saturn,499,0.00034806495932256136,0.0006961299186451227,0.9998347054273967,0.9999223364375879,1.0,0.9998391204606306,0.9999300962277733,1.0,0.014177801500674533,0.011823817390313712,0.018421852659335127,0.017150460084109247,0.9243840286834157,0.921467984397926,0.021683244277033473,0.003758734115260001
uranus,499,0.0002496744478156619,0.0004993488956313238,0.9998664281266145,0.999931792228011,1.0,0.9998719554309985,0.9999292631759217,1.0,0.012859299034325318,0.01189405920377978,0.01466436451807952,0.01383807981025974,0.9384312022358369,0.9350751148036575,0.01668225914694878,0.003209958687050328
neptune,499,0.0003928703395770983,0.0007857406791541966,0.9998291254708584,0.9999109537754552,1.0,0.999829048747451,0.9999110141906334,1.0,0.015188019194003513,0.013340303601872461,0.019001063787608435,0.01885546106784498,1.0000443820377372,0.9898922043072294,0.01862281435450264,0.0007008416030509362
