planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.12529764442139324,0.2505952888427865,0.7829921981489699,0.8984803304987814,0.9639278557114228,0.7830336461676929,0.9043231415905996,0.9639278557114228,0.4401232001836066,0.42608789386478685,0.27358127667664195,0.19225689080048128,0.6360413950731871,0.6999881502612892,0.3888435202136156,0.023377839738686637
venus,499,0.7265251680940753,1.4530503361881506,0.039274365531396745,0.06473418940095266,0.5090180360721442,0.03921051237952904,0.05395576376190613,0.5090180360721442,0.6356133352501335,0.7292025923238409,0.3948381144966713,0.39118841627603246,0.6613076428836411,0.9900432391399028,0.5006820780858988,0.011332704818613985
earth,499,0.6758158680573414,1.351631736114683,0.0231340848701248,0.04470903216296922,0.5090180360721442,0.023032994636184516,0.04194020343717145,0.5090180360721442,0.5339050365505197,0.5259352256678016,0.42349400269643106,0.4135355756898941,0.602723871430001,0.9757332591290605,0.53866281579646,0.00840050772075459
mars,499,0.5216667564111934,1.0433335128223868,0.10615602490540392,0.2270653792358893,0.5791583166332666,0.10637874674387746,0.2293880141686262,0.5751503006012024,0.6329302076633879,0.7161830919021063,0.42711407397667106,0.37435174187729164,0.564855045659561,0.8636748332457291,0.5602331430081736,0.007969187815996339
jupiter,499,0.26659602821212003,0.5331920564242401,0.6878007484718706,0.8608950823675973,0.9238476953907816,0.6877540810180203,0.8615474176985716,0.9238476953907816,0.4973362410534087,0.4928723189497506,0.2890901228544496,0.27070216687576404,0.7352777269613556,0.9312446944277356,0.37907175896667206,0.0035972369447128507
saturn,499,0.1835541930180209,0.36710838603604184,0.7716581350207428,0.9007440781345502,0.9539078156312625,0.7717892744249082,0.8997659667036031,0.9519038076152304,0.45259044762025225,0.4290747982278824,0.21680997407653493,0.2022121128880519,0.7937406582355052,0.921467984397926,0.29928695307312986,0.003758734115260001
uranus,499,0.16916882035945557,0.3383376407189112,0.8179412671115833,0.9500974490741626,0.9539078156312625,0.8176461733222044,0.9502132468944627,0.9539078156312625,0.3640148426021725,0.3091613231038331,0.19981223177196145,0.1873598613166085,0.8321397033779263,0.9350751148036575,0.2814584882592578,0.003209958687050328
neptune,499,0.0998794236600843,0.1997588473201686,0.9071045639003712,0.9691926436217302,0.9899799599198397,0.9070928158756218,0.9689488834938679,0.9899799599198397,0.2986905506713569,0.2472611194180892,0.14756298823174435,0.14609099763717445,0.9411172289696286,0.9898922043072294,0.22248913581470983,0.0007008416030509362
