planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.19759038010592575,0.3951807602118515,0.504093035555523,0.721295443189121,0.811623246492986,0.5032177838385649,0.7201011599261412,0.8136272545090181,0.6007208567843708,0.6474284337608175,0.34484191807499603,0.25064320306690974,0.5199129951971442,0.6999881502612892,0.4594235616235204,0.023377839738686637
venus,499,0.3288758198975791,0.6577516397951583,0.5443066129035238,0.7896573818730359,0.8276553106212425,0.5444716453019752,0.789843659710754,0.8276553106212425,0.5494703921380082,0.5758238903952323,0.4305184231825067,0.4258978238674138,0.5716559126373872,0.9900432391399028,0.4266633828233804,0.011332704818613985
earth,499,0.28593083506532724,0.5718616701306545,0.6054754415210559,0.8718799806430789,0.8557114228456913,0.6052968880864931,0.8703397058500035,0.8537074148296593,0.4919616202276565,0.4575798579366668,0.3811449117494413,0.37134995091512807,0.6132444503123595,0.9757332591290605,0.3900807682360477,0.00840050772075459
mars,499,0.210149661291333,0.42029932258266606,0.6382088412321397,0.8431618173398481,0.8897795591182365,0.6374773797182778,0.8445772015298291,0.8897795591182365,0.516859961354692,0.4962335593913057,0.39208611492052264,0.34002379856203657,0.5338638968096086,0.8636748332457291,0.36681096672968355,0.007969187815996339
jupiter,499,0.26015943910258926,0.5203188782051785,0.618410358992809,0.7912576770845627,0.8837675350701403,0.617759757523934,0.7901085511918267,0.8837675350701403,0.5531482824996984,0.5705818186586431,0.391279532599647,0.3623203439120093,0.5875829395678585,0.9312446944277356,0.4145032887841571,0.0035972369447128507
saturn,499,0.2114291357938763,0.4228582715877525,0.7035278934201888,0.8785199033466412,0.9198396793587175,0.7029798577831435,0.8797256919595006,0.9198396793587175,0.4998626214804683,0.4676408668792964,0.40530045674327164,0.37055394459498886,0.5578350775537347,0.921467984397926,0.39894677544735174,0.003758734115260001
uranus,499,0.14071932830286363,0.2814386566057273,0.8156725929687196,0.9421052749550962,0.9579158316633266,0.8155347973545392,0.9430433349116035,0.9579158316633266,0.3934742905753721,0.3326699091872944,0.28546432553167334,0.26402126168557655,0.6786107278670431,0.9350751148036575,0.28141501614480713,0.003209958687050328
neptune,499,0.13659091752059527,0.27318183504119053,0.8398799181000309,0.9546570939248734,0.9659318637274549,0.8398662631283961,0.9545276506210998,0.9659318637274549,0.36405763448639383,0.2967615651688214,0.26783733550086125,0.2633623175707289,0.7608192814585283,0.9898922043072294,0.32996177404200766,0.0007008416030509362
