planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.2830062935237905,0.566012587047581,0.3185391232533671,0.5346750661218524,0.6933867735470942,0.31771616812194614,0.5291541719447261,0.6933867735470942,0.6000787196116907,0.6793171237222629,0.3956232217905866,0.3017301912262123,0.444005375862301,0.6999881502612892,0.5110030795344158,0.023377839738686637
venus,499,0.4485106857147854,0.8970213714295708,0.34587153240696916,0.6118514081654574,0.7014028056112225,0.34571699699786196,0.6104284887924469,0.7014028056112225,0.5885391213118916,0.6355364058164419,0.4642430580880919,0.4599192034409871,0.5339611724166339,0.9900432391399028,0.44825707941473497,0.011332704818613985
earth,499,0.3845233000045672,0.7690466000091344,0.427032231761253,0.6617669112426787,0.7675350701402806,0.42675871803597387,0.6631627685476793,0.7655310621242485,0.5872840054186974,0.6410123538216234,0.47173328351277666,0.460530913027454,0.5203577570765124,0.9757332591290605,0.4434314441111047,0.00840050772075459
mars,499,0.27480157912261977,0.5496031582452394,0.5136673976638712,0.7830065079835345,0.8096192384769539,0.5123021081471084,0.7772895551701138,0.8096192384769539,0.5487111081341618,0.5468420684763292,0.4050081751009695,0.3604746964595692,0.5144250278628805,0.8636748332457291,0.44512294325960716,0.007969187815996339
jupiter,499,0.2817806700558973,0.5635613401117946,0.587816780918333,0.76828146417415,0.8677354709418837,0.5870709675007069,0.7702328882846334,0.8677354709418837,0.5592101290133911,0.5944413804992954,0.3754309961025946,0.3524816592945852,0.5938192073456336,0.9312446944277356,0.4125334646511165,0.0035972369447128507
saturn,499,0.1749830703017664,0.3499661406035328,0.7684054419025751,0.9084326179353703,0.9498997995991983,0.7680089924134705,0.9087411316699456,0.9498997995991983,0.4469606937153314,0.41099816374823217,0.34472626540070883,0.32007268516281695,0.606270556002431,0.921467984397926,0.32697398394528365,0.003758734115260001
uranus,499,0.12898618037636284,0.25797236075272567,0.8430898465759582,0.9429802273320573,0.9859719438877755,0.8425741866399836,0.9425774415879884,0.9859719438877755,0.38658453063323217,0.33398767433738213,0.24879154422700372,0.23364997946992516,0.7280431521143808,0.9350751148036575,0.2716158393834011,0.003209958687050328
neptune,499,0.09271110029060617,0.18542220058121234,0.9168235301515878,0.9712684176061018,1.0,0.9167702754958037,0.9710263918503631,1.0,0.30046335018461084,0.23897227104830754,0.20320614431190462,0.20175692019252225,0.8025939381945313,0.9898922043072294,0.20660355054395166,0.0007008416030509362
