planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.2768148728194468,0.5536297456388936,0.3984946162981046,0.6816064167167057,0.7535070140280561,0.3988872629382579,0.6719638478940667,0.7535070140280561,0.5478635024261737,0.5581957418607887,0.3137218670744495,0.23006302553137645,0.5709054980085945,0.6999881502612892,0.4254764803640363,0.023377839738686637
venus,499,0.6507133313005472,1.3014266626010944,0.18141999925209226,0.34375736555651215,0.5991983967935872,0.18145252464474684,0.34471290158635354,0.5991983967935872,0.6209438134282382,0.6736909698411829,0.23976197806491595,0.23728036082500634,0.7596637774480538,0.9900432391399028,0.29768261245638933,0.011332704818613985
earth,499,0.586878082186835,1.17375616437367,0.24972766631309773,0.4770424385906716,0.655310621242485,0.24953617873400535,0.4789183830658097,0.655310621242485,0.5912155192593677,0.6687095414581662,0.23227724532681945,0.2272429075363144,0.7592158492517251,0.9757332591290605,0.29798163476356787,0.00840050772075459
mars,499,0.4350251558529608,0.8700503117059216,0.3142421412805112,0.5921245205778349,0.687374749498998,0.31437237809597085,0.5909008002353545,0.687374749498998,0.5838897660828625,0.6381043242972483,0.26291744599049244,0.23173570418574693,0.6804323181181917,0.8636748332457291,0.3459727324420789,0.007969187815996339
jupiter,499,0.27202724001184797,0.5440544800236959,0.6427394557099749,0.8550083720482904,0.9078156312625251,0.6425507366736,0.8549001669490152,0.9078156312625251,0.49809588666541693,0.4824362970021794,0.1470487680953803,0.13754658093890026,0.8303290846789703,0.9312446944277356,0.2195323951403611,0.0035972369447128507
saturn,499,0.18053558440872944,0.3610711688174588,0.7661442506199324,0.9227714746167291,0.9418837675350702,0.7654886566702486,0.9226559314728273,0.9418837675350702,0.43932617005855423,0.38220636258426116,0.1405795403261669,0.13024279645540193,0.8082034636837826,0.921467984397926,0.18378781659065363,0.003758734115260001
uranus,499,0.11698775070827082,0.2339755014165416,0.8503627740762212,0.9475825614050079,0.9859719438877755,0.8497675596353459,0.9474810981070687,0.9839679358717435,0.3695915742470381,0.31977599099019144,0.08572892466798712,0.07983800262948058,0.8760808287910662,0.9350751148036575,0.12774478781121174,0.003209958687050328
neptune,499,0.1787811608392834,0.3575623216785667,0.7873301993840737,0.9375743059099341,0.9398797595190381,0.7872879332941167,0.9372866515684927,0.9398797595190381,0.39941651589984045,0.3433785395528947,0.10938510525700765,0.10823258050947318,0.8879959584755164,0.9898922043072294,0.15831779196031448,0.0007008416030509362
