planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.00013776781872914756,0.0002755356374582951,0.9998209133209859,0.9998857773769037,1.0,0.9997735224143082,0.9998772257004,1.0,0.017476825396435816,0.015669509138530983,0.013984801665404473,0.009520178070269376,0.7009229316049101,0.6999881502612892,0.02729281459491263,0.023377839738686637
venus,499,7.990993876626988e-05,0.00015981987753253975,0.9999557791442985,0.9999795391155082,1.0,0.9999429002593462,0.9999721815823062,1.0,0.00851603651681983,0.0074589582881870635,0.006943942445376975,0.006867757101170111,0.9868340623807872,0.9900432391399028,0.01397180553386408,0.011332704818613985
earth,499,0.00011579505112903652,0.00023159010225807305,0.9999152021564407,0.9999591425464813,1.0,0.9999062633073265,0.9999566013556443,1.0,0.010827667151604338,0.009316405057410906,0.006749239758045924,0.006562563036539176,0.9724816425275302,0.9757332591290605,0.011263505247696422,0.00840050772075459
mars,499,8.28422169376927e-05,0.00016568443387538536,0.9999561421390667,0.9999809797070115,1.0,0.9999496881347589,0.9999752535232113,1.0,0.007851407639252048,0.007035079218307537,0.00988721654389048,0.008510193651930776,0.8621966017162052,0.8636748332457291,0.013709996035384106,0.007969187815996339
jupiter,499,0.00012499588314455028,0.0002499917662891005,0.9999334926595997,0.9999708276424061,1.0,0.9999218578911413,0.9999650705323008,1.0,0.010017547523526973,0.008358092780249014,0.010118388654114957,0.009591229943757213,0.9275374710374497,0.9312446944277356,0.012296743808432813,0.0035972369447128507
saturn,499,0.00011513345394305115,0.0002302669078861023,0.9999297089502351,0.999960380658781,1.0,0.9999185622329848,0.9999488210560608,1.0,0.010704193653202881,0.010117078054971081,0.010133493044153357,0.0093761378438522,0.9215656187391926,0.921467984397926,0.012223362747579894,0.003758734115260001
uranus,499,0.00013088311391584135,0.0002617662278316827,0.9999247538628637,0.9999607946940601,1.0,0.999922013053968,0.9999561712952899,1.0,0.010351300531865422,0.009362450980222585,0.009634364990914366,0.009155775567927951,0.9308622282453382,0.9350751148036575,0.012086665615511994,0.003209958687050328
neptune,499,0.0002178685881942682,0.00043573717638853643,0.9998768202428974,0.999965494684278,1.0,0.9998742467339229,0.999962823573089,1.0,0.011846628895924213,0.008622729942725468,0.011333506483716399,0.011232474369041151,0.9824201679951213,0.9898922043072294,0.012277111008670166,0.0007008416030509362
