planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.19478475636366327,0.38956951272732654,0.58847249710787,0.8276828636572808,0.8597194388777555,0.588723296859923,0.8286025466169383,0.8617234468937875,0.500963190918346,0.5058263890010221,0.31264954561318065,0.22457469049545212,0.5830812489127073,0.6999881502612892,0.4307766731437963,0.023377839738686637
venus,499,0.36836141298185265,0.7367228259637052,0.5332185571597241,0.8383700985417982,0.8136272545090181,0.5332715897570216,0.8397916104989013,0.8136272545090181,0.4954422943951097,0.4881402692120349,0.19144440752114503,0.18949603136681256,0.8070357587217963,0.9900432391399028,0.26592592564387535,0.011332704818613985
earth,499,0.3640743606025041,0.7281487212050083,0.5181876676909721,0.7999928698072032,0.8136272545090181,0.5182024506914745,0.7980318338097973,0.811623246492986,0.5160248248469614,0.534391619792968,0.1979292807934924,0.1934153668307106,0.7901423014339982,0.9757332591290605,0.261682906306137,0.00840050772075459
mars,499,0.4219553733113592,0.8439107466227184,0.3324072224205671,0.6560743809801408,0.6733466933867736,0.3319346808755759,0.6512310818717721,0.6753507014028056,0.5364050602095994,0.5812081466836484,0.24588694358273594,0.21838495601685573,0.6883723008528673,0.8636748332457291,0.3222687041285564,0.007969187815996339
jupiter,499,0.5397496990738891,1.0794993981477783,0.20609869787082621,0.37249678349190046,0.6152304609218436,0.20611710305007203,0.3741003204056719,0.6152304609218436,0.5630339053929336,0.5970063296757461,0.2692998116030725,0.25267117616671136,0.6932962999369329,0.9312446944277356,0.32465447894417176,0.0035972369447128507
saturn,499,0.5098033178821979,1.0196066357643958,0.2808182328800468,0.45803097193577275,0.6813627254509018,0.28078335020784184,0.45798801244857745,0.6813627254509018,0.5666173424017096,0.6392966251906844,0.21164404330681708,0.19839569841905358,0.7387597958420627,0.921467984397926,0.2686359111870297,0.003758734115260001
uranus,499,0.5378417580831713,1.0756835161663425,0.24858188504800519,0.5181028298839737,0.627254509018036,0.2485646192758266,0.5201950702732583,0.627254509018036,0.525047404704267,0.5530135261834378,0.20824487027760022,0.19524496178474132,0.7601682860361058,0.9350751148036575,0.27691333319292605,0.003209958687050328
neptune,499,0.5496632741760458,1.0993265483520915,0.3424113281450791,0.6682176633867349,0.6813627254509018,0.3423435771700108,0.6681435080822432,0.6813627254509018,0.5260319129553543,0.5369923043485642,0.13419221750688776,0.132800082058475,0.8653771892304769,0.9898922043072294,0.19022407078546147,0.0007008416030509362
