planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.081926549468582,0.163853098937164,0.8469995779386338,0.981844231260696,0.9519038076152304,0.847202003333645,0.9811749610197157,0.9519038076152304,0.2982695753249761,0.19312093582740256,0.1445677445508649,0.1035920616100217,0.6336396257548952,0.6999881502612892,0.19636764261262982,0.023377839738686637
venus,499,0.11237148984608598,0.22474297969217197,0.8833414862038302,0.9896448780755006,0.9719438877755511,0.8833856241404386,0.9898264390908956,0.9719438877755511,0.2589122963614937,0.14228007757111644,0.09603449193288148,0.09475046793333382,0.9277291079023522,0.9900432391399028,0.12103853571217357,0.011332704818613985
earth,499,0.13208138875930114,0.2641627775186023,0.847750441445747,0.9813432690156378,0.9599198396793587,0.8477734220166121,0.9819618050713635,0.9599198396793587,0.3018780358528272,0.18559894800714716,0.09550914532447269,0.09278720379183272,0.9128770239746579,0.9757332591290605,0.12766543519739182,0.00840050772075459
mars,499,0.21697013382993321,0.43394026765986643,0.6853691270586064,0.9296870881044645,0.8837675350701403,0.685326506292106,0.9292459044989498,0.8837675350701403,0.42395349878576566,0.3625958567543013,0.10959297616781011,0.09488722990529376,0.7991055175755203,0.8636748332457291,0.1550805366822619,0.007969187815996339
jupiter,499,0.4734289203787984,0.9468578407575967,0.3633754657237525,0.6199102968480071,0.7054108216432866,0.3631757218203123,0.6207425524912231,0.7074148296593187,0.5272412556267321,0.5723157557058144,0.1668783736879049,0.15658695216331736,0.8018702007226561,0.9312446944277356,0.1973665159436656,0.0035972369447128507
saturn,499,0.4989243070988799,0.9978486141977598,0.3476217593568598,0.6499055219493719,0.6893787575150301,0.3474669733785214,0.6514499226054152,0.6893787575150301,0.5296962589042373,0.5780557741660001,0.15101286500130492,0.1397418925996396,0.8212229443265819,0.921467984397926,0.1938753442703296,0.003758734115260001
uranus,499,0.44145745455314006,0.8829149091062801,0.4411235666544779,0.7986530433001268,0.7454909819639278,0.4408397023420675,0.8000226640993976,0.7454909819639278,0.4725230105606037,0.453213943885698,0.11958375462436065,0.11253494194451442,0.8549425755938347,0.9350751148036575,0.15807938122050777,0.003209958687050328
neptune,499,0.6995270769511527,1.3990541539023054,0.17498377699935888,0.31570722006303625,0.5671342685370742,0.17492607381854544,0.314970887217727,0.5671342685370742,0.522533137418357,0.5492907306263018,0.13594063434294376,0.13463614469518545,0.8922200440189402,0.9898922043072294,0.17958023050196795,0.0007008416030509362
