planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.0004547065833536381,0.0009094131667072761,0.9995214754451055,0.9997088737607724,1.0,0.9994937730550126,0.9996430547240865,1.0,0.027102986647103013,0.02671634581334389,0.03297114542960962,0.020122310697354023,0.7070311190822396,0.6999881502612892,0.040959220022220244,0.023377839738686637
venus,499,0.00019169275668323198,0.00038338551336646395,0.9999262433050032,0.9999675820211125,1.0,0.9999109081091295,0.9999612316027264,1.0,0.010384928733109207,0.008805412468162093,0.012887807958681526,0.012797874228702596,0.9802699836487682,0.9900432391399028,0.016560049791094586,0.011332704818613985
earth,499,0.00015813358713222267,0.00031626717426444533,0.9999057281929312,0.9999396751948672,1.0,0.9998990018277599,0.9999365169973873,1.0,0.011949355880353126,0.011267740371077514,0.009930338970818636,0.00970694492225545,0.9706752787010039,0.9757332591290605,0.013807851743009553,0.00840050772075459
mars,499,0.00021611595140114866,0.0004322319028022973,0.9998423677752462,0.9999180510432539,1.0,0.999844971708841,0.9999364211060937,1.0,0.01382699592241225,0.011276246894232391,0.014532791744787266,0.012632609736434144,0.8606785456473943,0.8636748332457291,0.01746416195669444,0.007969187815996339
jupiter,499,0.00017210438349534273,0.00034420876699068546,0.999919813247061,0.9999540822407489,1.0,0.9999284391913738,0.9999519504986963,1.0,0.010068815015751355,0.009802892094800137,0.012931288479089555,0.012231085460818887,0.9249062665738791,0.9312446944277356,0.013857688450329069,0.0035972369447128507
saturn,499,0.0002220353600546977,0.0004440707201093954,0.9998775087885449,0.9999166748031574,1.0,0.99988397639114,0.9999241320681591,1.0,0.012987261072291078,0.01231787755670939,0.014073860194729634,0.013220140544578558,0.9159110059805471,0.921467984397926,0.015836731706328905,0.003758734115260001
uranus,499,0.00018551492425375191,0.00037102984850750383,0.9999284804189545,0.9999517584695571,1.0,0.9999320345027106,0.9999577332265004,1.0,0.009909480089734891,0.009194115531396024,0.013694622310144369,0.013086223511919983,0.9265419560322614,0.9350751148036575,0.013956547566664127,0.003209958687050328
neptune,499,0.00024851930091443296,0.0004970386018288659,0.9999052842962495,0.9999446579864562,1.0,0.9999063463427911,0.9999449337366829,1.0,0.011425730426068526,0.010494260063104865,0.015225006786336533,0.01514727879282818,0.9780395048158941,0.9898922043072294,0.01333424793496149,0.0007008416030509362
