planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.33848775679592996,0.6769755135918599,0.41554074761517606,0.695582188501812,0.7434869739478958,0.41415697430446036,0.6876787588100607,0.7474949899799599,0.5618306720254759,0.5893701313934514,0.301665989989168,0.1951411418772966,0.7372158559349544,0.6999881502612892,0.3524173060244995,0.023377839738686637
venus,499,0.6786165979729436,1.3572331959458872,0.22722729918718843,0.5066977792237756,0.627254509018036,0.22701004866202315,0.5044774946013625,0.627254509018036,0.5519853090483838,0.566577555058309,0.11970333068724033,0.11853397797361616,0.8918679237276226,0.9900432391399028,0.15203789849587496,0.011332704818613985
earth,499,0.5759394432446412,1.1518788864892824,0.28997830144292475,0.5191174317825853,0.6693386773547094,0.2898472147696291,0.5215739438213073,0.6693386773547094,0.5725602741428205,0.6133528693711698,0.16992677800909045,0.16600410337483054,0.838790100000774,0.9757332591290605,0.22494134914511582,0.00840050772075459
mars,499,0.5122626073555882,1.0245252147111763,0.2728861409662226,0.5112588545154154,0.6813627254509018,0.27262931133339235,0.511884473441688,0.6813627254509018,0.5886245445922641,0.6416681278082483,0.18640837866159105,0.1620501481546425,0.771553384823896,0.8636748332457291,0.24377940013840163,0.007969187815996339
jupiter,499,0.35228645181918156,0.704572903638363,0.5368140848870843,0.7911742339012617,0.8136272545090181,0.5372575549940991,0.7932507290032406,0.811623246492986,0.5344068465054278,0.5636412976128383,0.15598735619172246,0.1466616819834772,0.7989506424022438,0.9312446944277356,0.17178776740221635,0.0035972369447128507
saturn,499,0.36609210358686034,0.7321842071737207,0.5149053681345619,0.8133303570838323,0.8056112224448898,0.5153340502889234,0.8155067248008868,0.8056112224448898,0.5133432338066054,0.5280953881642869,0.13548258328679555,0.12700932688247346,0.8225939215938414,0.921467984397926,0.17942380373765127,0.003758734115260001
uranus,499,0.26440830141996735,0.5288166028399346,0.6728770653521738,0.919662857979919,0.8817635270541082,0.6729961661813394,0.9198686878340858,0.8817635270541082,0.43442833131617375,0.38033687703606744,0.11715048662362137,0.10913876038683397,0.8916832343880057,0.9350751148036575,0.16850015249832848,0.003209958687050328
neptune,499,0.39247130988323137,0.7849426197664626,0.5728855325658512,0.8575995179723201,0.8236472945891784,0.5727911274130548,0.8582105472556933,0.8236472945891784,0.48442680258844,0.4417045438469635,0.10737223034320038,0.1062467783517777,0.9699418853033226,0.9898922043072294,0.15695728906190243,0.0007008416030509362
