planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.2071006288860599,0.4142012577721198,0.6181311975608417,0.9053930313790447,0.8256513026052105,0.6201992067978381,0.9077620372520718,0.8276553106212425,0.46486873697102016,0.408346748999075,0.24689665958296814,0.1663025188658145,0.7079447196931669,0.6999881502612892,0.28783009245742863,0.023377839738686637
venus,499,0.29829650189810547,0.5965930037962109,0.6672838006093096,0.9298040726597344,0.8657314629258517,0.6672933350805451,0.927062304987357,0.8657314629258517,0.44452515248298324,0.3623345091254798,0.1151201021157556,0.11401475291798542,0.9205830424668899,0.9900432391399028,0.1722438295219532,0.011332704818613985
earth,499,0.3428444225950455,0.685688845190091,0.6134294964032049,0.9093867628893313,0.845691382765531,0.6134414390724346,0.9102613394980719,0.8476953907815631,0.45497014097673494,0.3722672245453509,0.10434558408767529,0.10161071041261975,0.9350674585945067,0.9757332591290605,0.1498458805821946,0.00840050772075459
mars,499,0.4039250847140364,0.8078501694280728,0.4500620888650212,0.8108337433095097,0.751503006012024,0.4497241970541302,0.8123930342562649,0.751503006012024,0.4964192842428116,0.47411033196346675,0.1469642633271445,0.12476987994052262,0.8649663129128746,0.8636748332457291,0.1942309277337264,0.007969187815996339
jupiter,499,0.6586129303381942,1.3172258606763885,0.22886924676314735,0.42078298563796684,0.6292585170340681,0.22891095031811148,0.4184376327491455,0.627254509018036,0.5735141268709694,0.6373849855986775,0.11677584287780508,0.10867716970679797,0.8920284769913631,0.9312446944277356,0.16626073392405788,0.0035972369447128507
saturn,499,0.7171477121357925,1.434295424271585,0.1468177262804733,0.24445334476595493,0.5771543086172345,0.14686853164425215,0.24688020174100642,0.5751503006012024,0.5703357309409549,0.6055889983705117,0.12284612629427033,0.11185573480096889,0.9140023050384967,0.921467984397926,0.16404873793161237,0.003758734115260001
uranus,499,0.8646042815514401,1.7292085631028802,-0.004615996861361465,-0.11546424961579195,0.4709418837675351,-0.004864410800321046,-0.11974859891910865,0.4709418837675351,0.5636029901458245,0.6413260617699282,0.12082327039304513,0.11241716029322542,0.9152633366218814,0.9350751148036575,0.16519360630731778,0.003209958687050328
neptune,499,0.9216931905867043,1.8433863811734088,-0.03899820085599576,-0.1385244639297434,0.45090180360721444,-0.03899192980877543,-0.13770619805949402,0.45090180360721444,0.6059075813496289,0.684200737512398,0.12819574643374954,0.12721488196494737,0.9044993387063824,0.9898922043072294,0.17818058530251268,0.0007008416030509362
