planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.22594145605394597,0.45188291210789194,0.43903355861729243,0.7186924132501844,0.7735470941883767,0.43959268958820896,0.7122400011051919,0.7735470941883767,0.5698649948396552,0.6048492212126996,0.4142829426955082,0.31510652211056367,0.41641465262098165,0.6999881502612892,0.5219439400713191,0.023377839738686637
venus,499,0.4376065972693525,0.875213194538705,0.3644988336586472,0.6665446949210877,0.7134268537074149,0.3643992066558265,0.6671327466548005,0.7134268537074149,0.564661194978185,0.5836520576555801,0.4182382721032082,0.41426649211744854,0.5781009790117229,0.9900432391399028,0.36471406892224734,0.011332704818613985
earth,499,0.41274616595058944,0.8254923319011789,0.3756993770025015,0.6023027321368101,0.7414829659318637,0.37556217891620675,0.6033191997139525,0.749498997995992,0.5971977137045441,0.6487631730277412,0.4096183839293313,0.40012849933479316,0.5767397701440573,0.9757332591290605,0.36993970455999836,0.00840050772075459
mars,499,0.29808281845062407,0.596165636901248,0.46230597821695635,0.7031674272026827,0.7855711422845691,0.46202589829167046,0.6997859615197812,0.7835671342685371,0.5890701809510761,0.6453812249712292,0.4014631960270709,0.35562765397679974,0.5138451002796292,0.8636748332457291,0.39802338856682706,0.007969187815996339
jupiter,499,0.316505491317583,0.633010982635166,0.4988288905180314,0.7282853705904692,0.8096192384769539,0.49881200899938016,0.7288926539682435,0.8096192384769539,0.562871814134802,0.5921526728249531,0.4144120912181601,0.3883033395089684,0.5443623589453815,0.9312446944277356,0.36357074993466054,0.0035972369447128507
saturn,499,0.26573327409125935,0.5314665481825187,0.5959081450609541,0.8477738240779858,0.8557114228456913,0.5957129788503929,0.847695528766385,0.8577154308617234,0.5089959225129812,0.5031309112791278,0.4039275675962074,0.3748165798632953,0.5488984508388809,0.921467984397926,0.39555703418861504,0.003758734115260001
uranus,499,0.15294111547453018,0.30588223094906036,0.8128801979009731,0.936772837563286,0.9659318637274549,0.8126709545466734,0.9361083151315853,0.9659318637274549,0.39657596713330934,0.35129152675887626,0.3213544323265266,0.3008507175800326,0.6398237408460414,0.9350751148036575,0.32360369231080205,0.003209958687050328
neptune,499,0.15133260483294733,0.30266520966589466,0.8433343472310442,0.9605847607852899,0.9659318637274549,0.8433169445038646,0.9603648274293632,0.9659318637274549,0.34293727127076323,0.2769123727622298,0.32635691131771766,0.3226517467902322,0.6713677402420621,0.9898922043072294,0.3088669137224222,0.0007008416030509362
