planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.18910308180589983,0.3782061636117997,0.5744693062803994,0.8337934429007963,0.8336673346693386,0.5745639601077642,0.8363320927472843,0.8316633266533067,0.49301287987694875,0.48559848244916376,0.30080910493959,0.2190064106690218,0.5568523032444814,0.6999881502612892,0.4014909371913747,0.023377839738686637
venus,499,0.23504337738523923,0.4700867547704784,0.7101318175853844,0.8922994069211845,0.9278557114228457,0.7100826148029393,0.8911408307104586,0.9238476953907816,0.47144379945110876,0.44344726586513517,0.3514872412349565,0.347709939665417,0.6441376439142458,0.9900432391399028,0.32734216419963696,0.011332704818613985
earth,499,0.20951705110184066,0.4190341022036813,0.740908022176742,0.9072966664007376,0.9378757515030061,0.7408221753724765,0.9075391370140748,0.9378757515030061,0.45149861309613365,0.40851121619044944,0.3001712014269649,0.2925602169877075,0.6842840770665262,0.9757332591290605,0.28798346887973225,0.00840050772075459
mars,499,0.19683509813921668,0.39367019627843336,0.6886811183292113,0.856758345114556,0.9218436873747495,0.6883371510139804,0.8549542759154853,0.9218436873747495,0.4958378270447011,0.4998374591912074,0.2973627141959747,0.2614108093828354,0.6141102871360427,0.8636748332457291,0.31854590064635907,0.007969187815996339
jupiter,499,0.28060226774974606,0.5612045354994922,0.5659249577709908,0.7631383451044491,0.8577154308617234,0.5659959056891829,0.7608182706247527,0.8577154308617234,0.5566572236571519,0.588765919980327,0.3922227175950768,0.36888096692542244,0.5639573917791479,0.9312446944277356,0.3732291779474262,0.0035972369447128507
saturn,499,0.2233504268117874,0.4467008536235748,0.6944758298138389,0.853029309336826,0.9298597194388778,0.6948079399913816,0.8521419154003854,0.9298597194388778,0.5081216013898345,0.5127678413977574,0.38530130686625463,0.3595158803440151,0.5654977178673224,0.921467984397926,0.3740887597737605,0.003758734115260001
uranus,499,0.20607195593772326,0.4121439118754465,0.7256360165506371,0.8763802107012457,0.9338677354709419,0.725710436234363,0.8759660532340651,0.9338677354709419,0.4760000058085254,0.47609306365810744,0.2927595496472618,0.27955095976093125,0.6623338611501537,0.9350751148036575,0.32048854707273633,0.003209958687050328
neptune,499,0.1861187749963132,0.3722375499926264,0.7937567837601193,0.9101630494287852,0.9579158316633266,0.7936590278892908,0.909764548465408,0.9579158316633266,0.42294111083758773,0.402380904326511,0.29447273106976174,0.2914592413125109,0.7036584574052742,0.9898922043072294,0.28387723891379596,0.0007008416030509362
