planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.2641106952835116,0.5282213905670232,0.4868711298629087,0.789649719222705,0.781563126252505,0.48662561971890855,0.7843138876180519,0.781563126252505,0.5446814574814082,0.5176981066049666,0.25634392824784696,0.1919818433914512,0.5716147636359866,0.6999881502612892,0.34518193952885695,0.023377839738686637
venus,499,0.4123536878042195,0.824707375608439,0.4430029174979096,0.7655593419236172,0.7615230460921844,0.44294488003499627,0.7647301671834899,0.7615230460921844,0.5523362298645651,0.5671355189300543,0.33425772220036043,0.33103002932499065,0.6596290147693658,0.9900432391399028,0.31260168958195095,0.011332704818613985
earth,499,0.46818764443148136,0.9363752888629627,0.34124384724378787,0.5599287083047824,0.7114228456913828,0.3411710681252952,0.5589522421070688,0.7114228456913828,0.5809199712762291,0.6367715343753253,0.3125880818160311,0.30467251524841443,0.6738683622116753,0.9757332591290605,0.3017222429783034,0.00840050772075459
mars,499,0.43423141273008586,0.8684628254601717,0.26186214611564135,0.48306396639255417,0.657314629258517,0.2617083531969052,0.4821083877766037,0.6593186372745491,0.5980006620877604,0.66806382383748,0.3022907902307464,0.26996602748435417,0.5998025704212436,0.8636748332457291,0.32041183909426485,0.007969187815996339
jupiter,499,0.573811962630855,1.14762392526171,0.15991487013957859,0.33081497841430496,0.5991983967935872,0.15969346726380898,0.3355060531992334,0.5991983967935872,0.5768836829589817,0.6197322552925822,0.29580566147441717,0.2781206687346705,0.6555167809289287,0.9312446944277356,0.2835163744389473,0.0035972369447128507
saturn,499,0.6010373510198507,1.2020747020397016,0.07518764616850004,0.10364310927997374,0.5470941883767535,0.0751609580482896,0.10826530972824307,0.5470941883767535,0.6124258381731943,0.6855705255036062,0.30851431332852824,0.2873168979633013,0.6410978307034173,0.921467984397926,0.3021987947007831,0.003758734115260001
uranus,499,0.6671902049070337,1.3343804098140677,0.025246783286828153,0.06929112547275972,0.5250501002004008,0.0250761272163239,0.07088265326193137,0.5250501002004008,0.568364822490247,0.5913144304321819,0.29741311398456477,0.27917595899241576,0.663044202220819,0.9350751148036575,0.3018487778514388,0.003209958687050328
neptune,499,0.8136653082267163,1.627330616453433,-0.11060674654573446,-0.23591426607727742,0.42084168336673344,-0.11066482446230429,-0.23646487884545106,0.42084168336673344,0.6156806493177177,0.6924393200005988,0.29707458630003397,0.29427468503099385,0.7001524350604024,0.9898922043072294,0.3066065093590123,0.0007008416030509362
