planet,num_points,component_mse,vector_mse,direction_cosine_mean,direction_cosine_median,direction_positive_fraction,radial_alignment_mean,radial_alignment_median,inward_fraction,normalized_torque_abs_mean,normalized_torque_abs_median,relative_magnitude_error_mean,absolute_magnitude_error_mean,predicted_magnitude_mean,true_magnitude_mean,inverse_square_cv,true_inverse_square_cv
mercury,499,0.3380217581547306,0.6760435163094612,0.19098754345863345,0.3946868348832294,0.6032064128256514,0.19058400383199292,0.3714866484997433,0.5991983967935872,0.5883745816146406,0.603258190582864,0.4201677114947808,0.3053159755978818,0.4540082442352698,0.6999881502612892,0.5448211639968533,0.023377839738686637
venus,499,0.6571266552866449,1.3142533105732899,0.08127257109047424,0.16689493637863348,0.5430861723446894,0.081085679636324,0.1724937533431175,0.5410821643286573,0.5961049687709923,0.6437309813652082,0.4547419942232338,0.45009561877985094,0.5616568650361194,0.9900432391399028,0.5339793206223624,0.011332704818613985
earth,499,0.6002333528886256,1.2004667057772511,0.12679737210379124,0.23057275404184777,0.5651302605210421,0.12689295815003696,0.229392179706765,0.5651302605210421,0.5902089726994156,0.6341439362313308,0.4140616626576687,0.4042950314359112,0.6030759656516819,0.9757332591290605,0.4695211536142271,0.00840050772075459
mars,499,0.5101481253088384,1.0202962506176765,0.10258527878901008,0.18134197766021315,0.5671342685370742,0.10233061628918703,0.1688581161538469,0.5651302605210421,0.6216225202259881,0.6787229099768145,0.38377439101277555,0.337134218729535,0.5582181832033243,0.8636748332457291,0.4426542001377463,0.007969187815996339
jupiter,499,0.6236502746380953,1.2473005492761906,0.1308445814551189,0.2424071465235019,0.5871743486973948,0.13083590353327076,0.24104720641598812,0.5871743486973948,0.6242319626510098,0.7021918547722292,0.35679379575631576,0.3324454522271757,0.6878584975237126,0.9312446944277356,0.4923798097962829,0.0035972369447128507
saturn,499,0.5225363006828269,1.0450726013656535,0.24027565557205907,0.4697052370306941,0.6472945891783567,0.24020352131249956,0.4729814775865209,0.6472945891783567,0.607403657906148,0.6614152907492562,0.3765219214672366,0.3483360152480184,0.6565169632721587,0.921467984397926,0.46607595745146563,0.003758734115260001
uranus,499,0.4102520460541308,0.8205040921082615,0.35740817935917135,0.6756846166037511,0.7214428857715431,0.3572982541861071,0.6752312611877074,0.7194388777555111,0.5480854086422579,0.5609795987969898,0.36400696897884854,0.34087478421928813,0.6274123522639454,0.9350751148036575,0.42805824223458605,0.003209958687050328
neptune,499,0.37585921074660034,0.7517184214932007,0.49125297300489246,0.781246248698991,0.7875751503006012,0.491148756440856,0.780612341148165,0.7855711422845691,0.5417986874209373,0.5483846720161173,0.2743525350786296,0.27077561656651317,0.7657304469951177,0.9898922043072294,0.3666994239848448,0.0007008416030509362
